column,score,reason
size_delta,2.2551325919589393,no strong signal
parent_size,0.6105645851154833,no strong signal
path_len,0.15611633875106928,no strong signal
target,0.024593669803250645,no strong signal
parent_sections,0.013900769888793841,no strong signal
parent_is_dotnet,0.00213857998289136,no strong signal
parent_is_gui,0.00213857998289136,no strong signal
parent_is_i386,0.00213857998289136,no strong signal
