Dataset,Method,Mean Jaccard@10,Mean Spearman,Mean Cosine,Samples
Fused pseudo sensitivity,SHAP,0.8260527805527803,0.9041623376623378,0.962758070218796,100
Fused pseudo sensitivity,LIME,0.6188666749916749,0.6052769458899837,0.67584891552192,100
Fused pseudo sensitivity,SRC,0.6199274981554393,0.6024058441558442,0.8715590263163904,100
