Method,Modality,Total absolute importance,Normalized modality importance
LIME,disk,10.384923265903279,0.31960520201265824
LIME,memory,13.296546358009918,0.4092129788551501
LIME,network,8.811503583362622,0.27118181913219175
SHAP,disk,33.09038878368574,0.47543648740455846
SHAP,memory,22.632209023838943,0.3251753260090051
SHAP,network,13.877421670005383,0.1993881865864366
SRC,disk,54.24990170173718,0.3606535823329468
SRC,memory,47.03523934808392,0.3126904756443244
SRC,network,49.13593989664503,0.32665594202272874
