Model,Random Forest,XGBoost,CatBoost
Random Forest,1.0,0.7446178176982445,0.7765566135847931
XGBoost,0.7446178176982445,1.0,0.7788616025400864
CatBoost,0.7765566135847932,0.7788616025400863,1.0
