Model,Accuracy,Accuracy Std,Accuracy CI95 Low,Accuracy CI95 High,Balanced Accuracy,Balanced Accuracy Std,Balanced Accuracy CI95 Low,Balanced Accuracy CI95 High,Precision (weighted),Precision Std,Precision CI95 Low,Precision CI95 High,Recall (weighted),Recall Std,Recall CI95 Low,Recall CI95 High,F1 (weighted),F1 Std,F1 CI95 Low,F1 CI95 High,F1 (macro),F1 Macro Std,F1 Macro CI95 Low,F1 Macro CI95 High,AUC (OVR),AUC Std,AUC CI95 Low,AUC CI95 High,AUPRC,AUPRC Std,AUPRC CI95 Low,AUPRC CI95 High,MCC,MCC Std,MCC CI95 Low,MCC CI95 High,Validation
Random Forest,0.8802289377289376,0.024207694502909056,0.8657220695970695,0.8945970695970695,0.7859106017439351,0.03675217326192375,0.7645386897053563,0.8090101896560229,0.882759027314138,0.02652741251340843,0.8667034515996568,0.898171981010574,0.8802289377289376,0.024207694502909056,0.8657220695970695,0.8945970695970695,0.8740993982099393,0.023200471183960663,0.8602087591017947,0.888162553314149,0.7889191724773993,0.03343340874110234,0.7691400352263129,0.8088744655688028,0.9904903412625032,0.0029228933735478417,0.9886168664862439,0.992063455924953,0.8601068526501663,0.02488591253735622,0.8452272453674224,0.8743449357006637,0.8662412455686296,0.027363493110132617,0.8497418850859683,0.8824028967577705,StratifiedGroupKFold(n_splits=10)
XGBoost,0.8677564102564104,0.02413143927331011,0.85328663003663,0.8823651556776556,0.778011232594566,0.035527381694869985,0.7570224004390671,0.7997527383881551,0.8696076540302731,0.029388213925924955,0.8539869269288911,0.8887327743739947,0.8677564102564104,0.02413143927331011,0.85328663003663,0.8823651556776556,0.8616095969759389,0.024949549136357684,0.8477961169157758,0.8776449999121378,0.77247910075398,0.03648166166675538,0.7513101098988441,0.7938962208942736,0.9833126763832147,0.006186759211315551,0.9797965512015532,0.9870823972810795,0.8439854510892811,0.03600948745221585,0.8248360779745324,0.8657936866636543,0.8525647921427669,0.026880539003278903,0.8365396800100527,0.8689747739539655,StratifiedGroupKFold(n_splits=10)
CatBoost,0.861996336996337,0.0317348176868688,0.8433557692307693,0.8802655677655677,0.7705463363796697,0.046385641645483845,0.7444022559230893,0.7982847939097939,0.8640367489311455,0.03063138352701589,0.8466605926540731,0.8830743905798861,0.861996336996337,0.0317348176868688,0.8433557692307693,0.8802655677655677,0.856727623698675,0.03018050824675236,0.8389535009709649,0.874410138859697,0.7633231893158171,0.04809924696867968,0.7359744999928434,0.7922030044882454,0.9873353141418073,0.004432349434312445,0.9846308075747048,0.9897024655047647,0.8412875789706252,0.02524338662775999,0.8264075143417178,0.8560935293787877,0.8460851283338855,0.035468916067645545,0.8253138531402658,0.8664591709828446,StratifiedGroupKFold(n_splits=10)
SVM (RBF),0.7374816849816849,0.04035358352456868,0.715908424908425,0.763525641025641,0.6389625960459294,0.038836602663699996,0.6180869562536229,0.6646706761602595,0.7604222948507051,0.033508272418516546,0.7416326154466508,0.7824947544427765,0.7374816849816849,0.04035358352456868,0.715908424908425,0.763525641025641,0.7367159154202595,0.03727238609044853,0.7167648402468608,0.7611281721007827,0.6342647674040796,0.04316551402242762,0.6110570800379764,0.662355963622031,0.9490427231933654,0.02047827994574404,0.9369246235015435,0.9604769630471298,0.7286061998100568,0.039700389007348555,0.7059467837092425,0.7513760184340209,0.7077877405652842,0.04415078683851215,0.684201010380455,0.7363721802321191,StratifiedGroupKFold(n_splits=10)
Logistic Regression,0.6818681318681319,0.04344637363570032,0.6589102564102565,0.7108846153846154,0.6023624061124061,0.04787557762748035,0.5781693942631442,0.6345665557436391,0.7385304978724191,0.04241767313595896,0.7135513358756427,0.7649277649484926,0.6818681318681319,0.04344637363570032,0.6589102564102565,0.7108846153846154,0.6913486298574909,0.04031703242372716,0.6696360336176213,0.7187195943070477,0.5665337253772106,0.045855208497291126,0.5455615048948472,0.5982419656440133,0.9564794586872335,0.013748149418939327,0.9484196494286791,0.9651381198553955,0.6746322158220227,0.04664856654302868,0.6498671035734309,0.7057728410338203,0.6526713073582819,0.04692512234746285,0.6273106429803927,0.6843782998527407,StratifiedGroupKFold(n_splits=10)
KNN,0.6110439560439561,0.0557653327185946,0.5790920329670329,0.6451561355311356,0.5677610352610353,0.05469470438963775,0.5358609642672143,0.6031532950074615,0.6968463349597803,0.04138548232466637,0.6716743038823921,0.7214478175691411,0.6110439560439561,0.0557653327185946,0.5790920329670329,0.6451561355311356,0.6244237747923201,0.05174173514798996,0.5950305752596359,0.6549402580978334,0.5253008681434294,0.05710392343721417,0.4912131387126595,0.5597003854077365,0.8362859587643481,0.030003174793790072,0.8181811460162701,0.8539650555177919,0.5688309183676185,0.057136747915582674,0.5383021466203923,0.6049319694581955,0.5827049699522057,0.05760289591635112,0.549543082855235,0.6184065433495025,StratifiedGroupKFold(n_splits=10)
