Model A,Model B,Prediction disagreement,Double-fault rate,At least one model correct
Random Forest,XGBoost,0.07183908045977011,0.09770114942528736,0.9022988505747126
Random Forest,CatBoost,0.05938697318007663,0.10344827586206896,0.896551724137931
XGBoost,CatBoost,0.06704980842911877,0.10919540229885058,0.8908045977011494
